状态,编号,思路,
已完成,1,测试发现只能日本IP，非日本IP登陆会发异地登陆邮件，目前不知道有没有影响，决定寻找可用vps商，测试腾讯等大厂后发现vultr的东京IP可行，决定采用vultr开一台win机和一台同地区debian，分别负责启动脚本完成预约和提供局域网socks代理
已完成,2,完成了预约整个流程的全自动化脚本(vultr+指纹浏览器)，通过最短路径预约(直接跳转预约页面，被系统强行要求登陆，登陆后预约)
已完成,3,发现风控问题，测试风控页面返回错误语句是否真实，如果真实则根据返回错误语句写脚本处理((如页面报错语句：需重置密码，就真的是需要重置密码))
已完成,4,发现页面返回错误语句过于泛化(如IP被封返回账户密码错误)，决定实时监控风控返回错误代码，如果真实则根据返回错误码写脚本处理(如风控返回需重置密码的错误码，就真的是需要重置密码)
已完成,5,发现监控风控返回错误码没用，风控会泛化(如ip被封，返回值是账户密码错误)，思路转变，决定不管风控系统，强行模拟正常人去完成预约
已完成,6,修改脚本模拟真人预约流程，更像人操纵后发现还有风控问题，并且发现主页登陆风控和预约页风控是两套系统且预约页的风控更严，决定测试是脚本问题还是环境问题(建立对照组：本地测试+快连vpn+纯人工预约/脚本预约)
已完成,7,测试环境：南京pc+快连vpn日本节点(全局代理)+edge浏览器，测试后发现还是会出现页面报错红字，无法过风控，决定换手机端测试
已完成,8,测试环境：安卓手机+快连vpn日本节点(全局代理)+via浏览器，测试后发现没有任何问题，从主页登陆后从个人页面进入抽奖页甚至没有触发二次登陆，查看IP后发现是：日本东京谷歌云/亚马逊云/iij来回切换，决定将脚本放到安卓手机进行测试
已完成,9,要使用已经写好的脚本，需要使用chrome的cdp，测试环境：安卓手机+快连vpn日本节点(全局代理)+chrome浏览器，在不登陆谷歌账号的情况下进入网站主页登陆直接出发了谷歌rea风控，登陆谷歌账号后进入可以正常登陆，但进入抽奖页面时需要二次登陆，说明风控分数没有使用via高(via使用久，有大量上下文，chrmoe新安装)，经测试使用快连vpn时，ip如果是亚马逊云和谷歌云，进入网站会被拦截，iij可以正常进入，决定使用adb链接安卓手机，运行脚本测试
已完成,10,通过ADB+adb forward成功建立PC到手机Chrome的CDP通道(localhost:9222可访问手机标签列表)，在main.py和config.py中新增ANDROID_MODE开关，True时跳过Nstbrowser直连手机Chrome CDP，无需修改任何登录/预约逻辑
进行中,11,将ANDROID_MODE改为True后运行脚本，验证手机Chrome被CDP控制后能否通过预约页风控(关键实验：确认风控失败原因是浏览器上下文/指纹还是操作行为)
